4 7
1 0 3
0 1 2
1 0 1
1 0 0
0 0 3
1 0 3 
1 3 3

85751 63

0 11357 85678
1 44869 74693
1 39041 75542
0 52485 59166
0 2816 64735
0 31869 84975
1 51240 84708
1 38330 84747
0 14902 55834
1 25811 85293
1 9534 57859
1 4268 75808
1 35262 85074
0 42921 71326
0 50816 55792
1 5895 81848
1 29163 77703
0 7143 72481
0 19761 62766
1 38882 81172
1 46306 83553
1 52746 58340
1 50764 55893
1 37523 83939
0 32686 80995
0 32553 64699
1 7177 77007
0 15564 76932
1 41398 73210
0 7175 71798
1 26474 85256
1 51639 71858
1 36803 76968
1 29626 72448
1 49383 68069
1 43814 66983
0 22201 61040
0 17036 71348
0 47979 78971
1 46597 77322
0 3477 80852
1 7649 83265
1 42872 63697
1 7733 79386
0 38969 76187
0 44538 66216
1 9147 67739
0 37003 64294
0 52496 68278
1 32556 72375
0 41515 63476
0 8500 69066
0 16485 67326
0 43766 58892
1 18091 57741
1 1816 75557
1 48548 57802
0 17493 65270
1 798 74725
0 42723 84175
0 26801 61754
0 23165 82477
0 26285 82381

68332 1000
1 367 59868
1 860 4361
1 111 35348
1 853 61527
1 873 21572
1 459 62761
0 0 54414
0 417 25683
0 748 26834
0 403 23906
1 236 10487
1 102 54179
1 939 29004
0 227 40358
0 56 42953
1 874 54931
1 554 8346
1 25 27395
1 997 55360
0 904 57190
1 119 33501
1 10 38268
0 337 24989
1 177 19991
0 941 43219
0 834 61852
0 428 41361
0 71 61805
1 820 4681
0 143 65513
1 812 44574
0 913 67385
1 109 62147
1 717 4017
1 564 49695
1 618 6927
1 627 21414
0 31 57944
1 462 57131
1 246 58171
1 942 16085
0 970 29358
1 209 67472
0 259 7029
1 450 31770
0 33 54742
1 678 3531
0 476 42884
1 610 33704
0 135 5429
1 943 13887
0 4 36483
1 1000 63764
1 172 56947
1 990 13081
1 753 65275
0 591 20532
0 99 42127
1 829 8486
1 287 36080
0 448 67930
0 428 63398
1 897 6839
0 865 3402
0 461 28032
1 352 20594
0 11 4979
1 860 55512
1 145 51962
0 931 27967
0 384 52291
0 884 27979
1 294 63873
1 951 6595
1 161 61559
0 936 14161
1 960 18307
0 608 8220
1 626 43311
1 516 21007
1 891 16114
1 243 27252
0 533 34754
1 351 18663
